"Country","continent","total_cases","Active","population","total_tests","cases_standard"
"Afghanistan","Asia",173047,7578,40099462,NA,NA
"Albania","Europe",270947,3457,2854710,NA,NA
"Algeria","Africa",264603,6820,44177969,NA,NA
"Andorra","Europe",37958,151,79034,NA,NA
"Angola","Africa",98701,1899,34503774,NA,NA
"Antigua and Barbuda","North America",7435,135,93220,NA,NA
"Argentina","South America",8878486,125872,45276780,34500403,25.7344414208727
"Armenia","Asia",418220,8392,2790974,2885418,14.4942604503056
"Australia","Oceania",3150771,5095,25921089,63215179,4.98420007637723
"Austria","Europe",2565399,17786,8922082,157354898,1.63032675347672
"Azerbaijan","Asia",781538,9330,10312992,6531133,11.9663464210574
"Bahamas","North America",33105,771,407906,NA,NA
"Bahrain","Asia",504375,1447,1463265,9338809,5.4008492945942
"Bangladesh","Asia",1939651,29005,169356251,13312574,14.5700673663861
"Barbados","North America",54536,312,281200,NA,NA
"Belarus","Europe",902315,6421,9578168,12367231,7.2960147667655
"Belgium","Europe",3537675,30101,11611420,31609690,11.1917421524855
"Belize","North America",56525,648,400031,NA,NA
"Benin","Africa",26567,163,12996895,NA,NA
"Bhutan","Asia",11010,6,777486,1675554,0.657096100752348
"Bolivia","South America",891851,21406,12079472,3868938,23.0515712580558
"Bosnia and Herzegovina","Europe",370295,15392,3270943,NA,NA
"Botswana","Africa",262652,2614,2588423,NA,NA
"Brazil","South America",28589235,647703,214326223,NA,NA
"Brunei","Asia",48055,113,445373,NA,NA
"Bulgaria","Europe",1083425,35357,6885868,9125177,11.8729203828046
"Burkina Faso","Africa",20751,375,22100683,NA,NA
"Burundi","Africa",38047,38,12551213,NA,NA
"Cambodia","Asia",128599,3026,16589023,2852348,4.50853121708852
"Cameroon","Africa",119240,1923,27198628,NA,NA
"Canada","North America",3280453,36332,38155012,58032175,5.65281759644542
"Central African Republic","Africa",14187,113,5457154,NA,NA
"Chad","Africa",7248,190,17179740,NA,NA
"Chile","South America",2953895,41795,19493184,32381790,9.12208682719516
"China","Asia",123473,4636,1425893464,NA,NA
"Colombia","South America",6056556,138421,51516562,33024037,18.3398413706961
"Comoros","Africa",8026,160,821626,NA,NA
"Costa Rica","North America",799826,7984,5153957,2877694,27.7939906049775
"Cote d'Ivoire","Africa",81410,791,27478249,1406040,5.79002019857188
"Croatia","Europe",1049667,14964,4060135,4496130,23.3460109027097
"Cuba","North America",1067522,8494,11256372,NA,NA
"Cyprus","Europe",313406,833,896007,25264396,1.24050462160267
"Czechia","Europe",3549479,38433,10510750,52697180,6.73561469513169
"Denmark","Europe",2691663,4461,5854240,62517598,4.30544852347014
"Djibouti","Africa",15545,189,1105557,NA,NA
"Dominica","North America",11016,57,72412,NA,NA
"Dominican Republic","North America",573458,4363,11117874,3098279,18.5089205975317
"Ecuador","South America",827760,35223,17797737,2515184,32.9105146979307
"Egypt","Africa",477173,23927,109262178,NA,NA
"El Salvador","North America",147786,4058,6314167,1381683,10.6960858605049
"Equatorial Guinea","Africa",15877,182,1634466,287396,5.52443318626564
"Eritrea","Africa",9696,103,3620312,NA,NA
"Estonia","Europe",478941,2195,1328701,3096130,15.46902100364
"Eswatini","Africa",69095,1390,1192271,NA,NA
"Ethiopia","Africa",468564,7450,120283026,4480864,10.4570011497783
"Fiji","Oceania",63687,826,924610,496558,12.8256920641697
"Finland","Europe",637658,2364,5535992,9938373,6.41612062658546
"France","Europe",22587682,137839,67422000,246676863,9.15678986885771
"Gabon","Africa",47520,303,2341179,NA,NA
"Gambia","Africa",11924,365,2639916,NA,NA
"Georgia","Asia",1584454,16022,3757980,13358400,11.8611061204935
"Germany","Europe",14188269,122145,83408554,NA,NA
"Ghana","Africa",159124,1442,32833031,NA,NA
"Greece","Europe",2369396,25603,10445365,64571080,3.66943839254353
"Grenada","North America",13598,214,124610,NA,NA
"Guatemala","North America",770135,16906,17608483,3911716,19.6879067907793
"Guinea","Africa",36393,440,13531906,NA,NA
"Guinea-Bissau","Africa",7972,166,2060721,NA,NA
"Guyana","South America",62798,1216,804567,NA,NA
"Haiti","North America",30336,820,11447569,NA,NA
"Honduras","North America",411212,10720,10278346,NA,NA
"Hungary","Europe",1774676,43664,9709786,10260443,17.2962902284044
"Iceland","Europe",118684,61,370335,1149217,10.3273794244255
"India","Asia",42894345,513226,1407563842,763569165,5.61761094687473
"Indonesia","Asia",5408328,147342,273753191,55346076,9.77183639902493
"Iran","Asia",7011932,135952,87923432,NA,NA
"Iraq","Asia",2298164,24931,43533592,NA,NA
"Ireland","Europe",1287908,6471,4986526,11344931,11.3522770654136
"Israel","Asia",3601897,10105,9291000,46460687,7.75256939269968
"Italy","Europe",12651251,154013,59240330,185945890,6.80372714879581
"Jamaica","North America",127799,2808,2827694,843856,15.1446455319391
"Japan","Asia",4753558,22791,124612530,36805681,12.9152833770417
"Jordan","Asia",1606837,13767,11148278,16145005,9.952533306741
"Kazakhstan","Asia",1389288,18893,19196465,NA,NA
"Kenya","Africa",322822,5638,53005614,3351782,9.63135430645549
"Kosovo","Europe",225853,3108,1782115,1758767,12.8415532017601
"Kuwait","Asia",617275,2534,4250114,7553030,8.17254797081436
"Kyrgyzstan","Asia",200402,2950,6527743,NA,NA
"Laos","Asia",141933,617,7425058,978409,14.5065100586769
"Latvia","Europe",624008,5159,1873919,6595096,9.46169699425149
"Lebanon","Asia",1060152,10044,5592631,NA,NA
"Lesotho","Africa",32599,696,2281454,NA,NA
"Liberia","Africa",7360,290,5193416,NA,NA
"Libya","Africa",491216,6232,6735277,NA,NA
"Liechtenstein","Europe",11564,77,39039,NA,NA
"Lithuania","Europe",946310,8341,2786651,8100172,11.6825914313918
"Luxembourg","Europe",181195,988,639321,4064905,4.45754574830162
"Madagascar","Africa",63433,1350,28915653,NA,NA
"Malawi","Africa",85276,2612,19889742,544043,15.6744963173867
"Malaysia","Asia",3337227,32534,33573874,50456439,6.61407555931563
"Maldives","Asia",168124,294,521458,2167546,7.75642131701011
"Mali","Africa",30358,722,21904983,NA,NA
"Malta","Europe",71003,601,526748,1733385,4.09620482466388
"Mauritania","Africa",58621,977,4614974,881238,6.65211895083961
"Mauritius","Africa",159324,895,1298915,NA,NA
"Mexico","North America",5473489,317303,126705138,14720822,37.1819522034843
"Moldova","Europe",499015,11171,3061506,NA,NA
"Monaco","Europe",9331,51,36686,NA,NA
"Mongolia","Asia",904231,2091,3347782,7126870,12.6876314567264
"Montenegro","Europe",229630,2672,627859,NA,NA
"Morocco","Africa",1160303,15952,37076584,10997901,10.5502222651395
"Mozambique","Africa",224999,2192,32077072,NA,NA
"Namibia","Africa",157106,4006,2530151,949780,16.5413043020489
"Nepal","Asia",976512,11931,30034989,NA,NA
"Netherlands","Europe",6244497,21616,17501696,28019317,22.2863997719859
"New Zealand","Oceania",57497,64,5129728,6598789,0.871326541885185
"Nicaragua","North America",13958,224,6850540,NA,NA
"Niger","Africa",8746,306,25252722,227005,3.85277857315918
"Nigeria","Africa",254428,3142,213401323,NA,NA
"North Macedonia","Europe",295712,8968,2103330,1880891,15.7219105200674
"Norway","Europe",1202017,1598,5403021,10725561,11.2070315016622
"Oman","Asia",379618,4238,4520471,NA,NA
"Pakistan","Asia",1506450,30139,231402116,26258701,5.7369555333297
"Panama","North America",753694,8058,4351267,5490154,13.7281030732471
"Papua New Guinea","Oceania",40748,638,9949437,NA,NA
"Paraguay","South America",639078,18315,6703799,2544253,25.1184925398535
"Peru","South America",3506075,210116,33715472,27166379,12.9059342063953
"Philippines","Asia",3657342,56165,113880328,26485258,13.8089725235072
"Poland","Europe",5620946,110858,38307726,34153188,16.4580419256908
"Portugal","Europe",3339225,20941,10290103,38119866,8.75980256593767
"Qatar","Asia",355740,664,2688235,5764680,6.17102770665501
"Romania","Europe",2708315,63073,19328560,20436219,13.2525248432697
"Russia","Europe",15697674,341624,145102755,274745006,5.71354297883034
"Rwanda","Africa",129468,1457,13461888,4767680,2.71553459963756
"Saint Kitts and Nevis","North America",5525,42,47606,NA,NA
"Saint Lucia","North America",22627,358,179652,NA,NA
"Saint Vincent and the Grenadines","North America",8303,106,104332,98093,8.46441642115136
"San Marino","Europe",14291,112,33746,NA,NA
"Sao Tome and Principe","Africa",5932,72,223107,NA,NA
"Saudi Arabia","Asia",742541,8991,35950396,40519559,1.8325495595843
"Senegal","Africa",85637,1960,16876720,1027648,8.33330089680513
"Serbia","Europe",1900293,15059,6871547,8704941,21.8300503128051
"Seychelles","Africa",39251,160,106470,NA,NA
"Sierra Leone","Africa",7665,125,8420641,NA,NA
"Singapore","Asia",661198,975,5453600,NA,NA
"Slovakia","Europe",2071372,18338,5447622,49459363,4.18802805850937
"Slovenia","Europe",887224,6257,2119410,4365813,20.3220797592568
"Somalia","Africa",26313,1348,17065581,NA,NA
"South Africa","Africa",3667560,99018,59392255,22994945,15.949418448272
"South Sudan","Africa",16950,137,10748272,NA,NA
"Spain","Europe",10949997,99162,47486935,85630148,12.7875488431948
"Sri Lanka","Asia",641786,16116,21773441,7342989,8.74011931653445
"Sudan","Africa",61376,3901,45657202,NA,NA
"Suriname","South America",78016,1315,612984,77310,100.913206570948
"Sweden","Europe",2437850,17083,10467097,17965847,13.5693574591835
"Switzerland","Europe",2747563,13073,8691406,18579653,14.788021067993
"Syria","Asia",54160,3062,21324367,NA,NA
"Taiwan","Asia",20236,852,23859912,6267979,0.322847284587265
"Tajikistan","Asia",17786,125,9750064,NA,NA
"Tanzania","Africa",33620,798,63588334,NA,NA
"Thailand","Asia",2794350,22768,71601103,20827724,13.416492363736
"Togo","Africa",36777,272,8644829,687045,5.3529244809292
"Trinidad and Tobago","North America",125864,3603,1525663,624488,20.1547507718323
"Tunisia","Africa",992574,27640,12262946,NA,NA
"Turkey","Asia",13841889,93539,84775404,142421979,9.71892758209742
"Uganda","Africa",163179,3585,45853778,2446107,6.67096737796016
"Ukraine","Europe",5040518,112459,43531422,NA,NA
"United Arab Emirates","Asia",877406,2299,9365144,135967818,0.645304170432447
"United Kingdom","Europe",18773164,187384,67281040,462236168,4.06137929042368
"Uruguay","South America",831950,6932,3426260,5664769,14.6863888006731
"Uzbekistan","Asia",235880,1626,34081449,NA,NA
"Venezuela","South America",512947,5625,28199866,NA,NA
"Vietnam","Asia",3041506,39884,97468028,78754090,3.86202926095648
"Yemen","Asia",11751,2130,32981641,NA,NA
"Zambia","Africa",312118,3947,19473125,3259776,9.57482968154867
"Zimbabwe","Africa",234967,5390,15993524,NA,NA
"Burma",NA,NA,NA,NA,NA,NA
"Cabo Verde",NA,NA,NA,NA,NA,NA
"Congo (Kinshasa)",NA,NA,NA,NA,NA,NA
"Holy See",NA,NA,NA,NA,NA,NA
"Korea, South",NA,NA,NA,NA,NA,NA
"Timor-Leste",NA,NA,NA,NA,NA,NA
"United States of America",NA,NA,NA,NA,NA,NA
"West Bank and Gaza",NA,NA,NA,NA,NA,NA
"Western Sahara",NA,NA,NA,NA,NA,NA
